Assembly District (current),City,Company Name,Congressional District (current),County,HID,Management,Number of buildings in project,Project status,School district name,School district SDL code,State Senate District (current),Street Address,Total units in project,Type,Zip,x,y
82,Bronx,Mayflower Terrace,14,Bronx,H055,"Century Management Services, Inc.",1,Active,NYC GEOG DIST # 8 - BRONX,320800,34,1720 Mayflower Avenue,120,COOP,10461,,
27,Flushing,Electchester 5th Houses,6,Queens,H062C,Electchester Management LLC,2,Active,NYC GEOG DIST #25 - QUEENS,342500,16,65-83 160th Street,184,COOP,11365,,
57,Brooklyn,Jewish Hospital Staff,9,Kings,H063,New Bedford Management Corp.,1,Active,NYC GEOG DIST #17 - BROOKLYN,331700,20,Park Place,142,RENT,11238,,
25,Flushing,Kissena I (Fellowship Fd),6,Queens,H065,Douglas Elliman Property Management,1,Active,NYC GEOG DIST #25 - QUEENS,342500,16,45-25 Kissena Boulevard,135,RENT,11355,,
89,Yonkers,Sunnyside Manor,16,Westchester,H066,"Metro Management Development, Inc.",1,Active,YONKERS CITY SD,662300,35,2 Sunnyside Drive,121,COOP,10705,,
84,Bronx,Carnes McKinney,14,Bronx,H070,"Marion Scott Real Estate,  Inc.",1,Active,NYC GEOG DIST # 8 - BRONX,320800,29,750 Faile Street,111,COOP,10474,,
81,Bronx,Waldo Apartments,15,Bronx,H073,"Metro Management Development, Inc.",1,Active,NYC GEOG DIST #10 - BRONX,321000,31,3800 Waldo Avenue,171,COOP,10463,,
85,Bronx,Stratford Towers,14,Bronx,H078,Wave Crest Management Group LLC,1,Active,NYC GEOG DIST #12 - BRONX,321200,34,1340 Stratford Avenue,129,RENT,10472,,
109,Albany,Executive House,20,Albany,H080,Albany Executive House,1,Active,ALBANY CITY SD,010100,46,175 South Swan Street,160,COOP,12210,,
82,Bronx,Co-op City (Riverbay),14,Bronx,H081,Douglas Elliman Property Management,271,Active,NYC GEOG DIST #11 - BRONX,321100,36,2049 Bartow Avenue,15372,COOP,10475,,
87,Bronx,Jamie Towers,14,Bronx,H082,"Maxwell-Kates, Inc.",4,Active,NYC GEOG DIST # 8 - BRONX,320800,34,633 Olmstead Avenue,620,COOP,10473,,
93,Mt. Kisco,Barker Terrace (Mt. Kisco),17,Westchester,H084,"The Ferrara Management Group, Inc.",1,Active,BEDFORD CSD,660102,40,1 Barker Street,92,COOP,10549,,
136,Rochester,Seneca Towers,25,Monroe,H088,"Rochester Management, Inc",1,Active,ROCHESTER CITY SD,261600,56,200 Seth Green Drive,491,RENT,14621,,
25,Flushing,Kissena II (45th Ave Hsg),6,Queens,H091,Douglas Elliman Property Management,1,Active,NYC GEOG DIST #25 - QUEENS,342500,16,137-47 45th Avenue,289,RENT,11355,,
78,Bronx,Kittay House,13,Bronx,H093,"Kittay House, Jewish Home Lifecare, Inc.",1,Active,NYC GEOG DIST #10 - BRONX,321000,31,2550 Webb Avenue,295,RENT,10468,,
51,Brooklyn,Bayridge Towers,10,Kings,H099,Cooper Square Realty,2,Active,NYC GEOG DIST #20 - BROOKLYN,332000,26,260 65th Street,811,COOP,11220,,
92,Dobbs Ferry,Children’s Village,16,Westchester,H101,"H & S Property Mgmt.,Inc.",14,Active,DOBBS FERRY UFSD,660403,35,Childrens Village,112,RENT,10522,,
129,Syracuse,Brighton Towers,22,Onondaga,H103A,Syracuse Management Inc.,1,Active,SYRACUSE CITY SD,421800,48,821 East Brighton Avenue,599,RENT,13205,,
129,Syracuse,Brighton Towers II,22,Onondaga,H103B,Syracuse Management Inc.,1,Active,SYRACUSE CITY SD,421800,48,821 East Brighton Avenue,0,RENT,13205,,
77,Bronx,Findlay House (Weinstein),15,Bronx,H111,"Prestige Management, Inc.",1,Active,NYC GEOG DIST # 9 - BRONX,320900,32,1175 Findlay Avenue,227,RENT,10456,,
125,Ithaca,McGraw House,19,Tompkins,H115,"McGraw Housing Co., Inc.",1,Active,ITHACA CITY SD,610600,52,221 South Geneva Street,106,RENT,14850,,
113,Saratoga Springs,Embury Apartments,20,Saratoga,H117,"Embury Apartments, Inc.",3,Active,SARATOGA SPRINGS CITY SD,521800,44,133 Lawrence Street,192,RENT,12866,,
126,Auburn,Schwartz Towers,24,Cayuga,H120,"Schwartz Towers, Inc.",1,Active,AUBURN CITY SD,050100,48,90 North Street,141,RENT,13021,,
21,Lynbrook,Nathan Hale,4,Nassau,H121,"Becker Real Estate Services, Inc.",1,Active,LYNBROOK UFSD,280220,9,30 Doxsey Place,127,RENT,11563,,
117,Gouverneur,Cambray Court A,21,St Lawrence,H122A,"United Helpers Management, Inc.",3,Active,GOUVERNEUR CSD,511101,49,NULL,28,RENT,13642,,
141,Buffalo,Trinity Tower,26,Erie,H123,"Corvus Property Intelligence, LLC",1,Active,BUFFALO CITY SD,140600,63,33 Linwood Avenue,83,RENT,14209,,
104,Poughkeepsie,St. Simeon Foundation,18,Dutchess,H126,St. Simeon Second Mile Corp.,7,Active,SPACKENKILL UFSD,131602,39,24 Beechwood Avenue,100,RENT,12601,,
135,Fairport,Fairport Apartments,25,Monroe,H128,"Cornerstone Property Managers, LLC",13,Active,FAIRPORT CSD,261301,55,1030 East Whitney Road,104,RENT,14450,,
120,Pulaski,Springbrook Apts.,24,Oswego,H129,"Peters Realty Co., Inc.",1,Active,PULASKI CSD,461801,49,7370 Park Street,120,RENT,13142,,
128,Syracuse,Bernardine Apartments,22,Onondaga,H130,Bernardine Apartments,1,Active,SYRACUSE CITY SD,421800,48,417 Churchill Avenue,190,RENT,13205,,
19,Garden City Park,Denton Green,3,Nassau,H131,Denton Green Hsg. Co. Inc,1,Active,NEW HYDE PARK-GARDEN CITY PARK UFSD,280405,7,500 Denton Avenue,113,RENT,11040,,
115,Saranac Lake,De Chantal Apts.,21,Franklin,H136,"S. Curtis Hayes, Inc.",1,Active,SARANAC LAKE CSD,161401,45,20 Church Street,131,RENT,12983,,
