HFA ID,Address,Building Units,Owner Name,HUD LIHTC ID,BBL / Parcel ID,BIN (NYC DOB),Census Tract (2020),Assembly District,State Senate District,Congressional District,latitude,longitude,Property name,Total Project Units,Number of buildings in project,Management name,Contact address,Contact phone,Contact email,County,New Construction / Rehab,Placed-in-Service date,Floodplain 100-yr / 500-yr flag,School district name,School district SDL code,x,y
1660,"444 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90042,,NA,36065022500,119,53,22,43.218818,-75.422801,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465660.7102531221,4785201.391906636
1660,"446 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90043,,NA,36065022500,119,53,22,43.218762,-75.422906,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465652.1508599374,4785195.216052177
1660,"448 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90044,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"450 Park Drive Manor, Rome, 13440",4,Park Drive Manor II Associates Co. LLC,NY-08-90045,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"452 Park Drive Manor, Rome, 13440",4,Park Drive Manor II Associates Co. LLC,NY-08-90046,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"454 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90047,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"455 Park Drive Manor, Rome, 13440",6,Park Drive Manor II Associates Co. LLC,NY-08-90048,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"456 Park Drive Manor, Rome, 13440",6,Park Drive Manor II Associates Co. LLC,NY-08-90049,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"457 Park Drive Manor, Rome, 13440",6,Park Drive Manor II Associates Co. LLC,NY-08-90050,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"458 Park Drive Manor, Rome, 13440",4,Park Drive Manor II Associates Co. LLC,NY-08-90051,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"459 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90052,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"460 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90053,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"465 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90058,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"461 Park Drive Manor, Rome, 13440",8,Park Drive Manor II Associates Co. LLC,NY-08-90054,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
1660,"462 Park Drive Manor, Rome, 13440",6,Park Drive Manor II Associates Co. LLC,NY-08-90055,,NA,36065022500,119,53,22,43.218482,-75.422128,Park Drive Manor II,168,24,"Cook, Brittney",,,,Oneida,Preservation / Rehab,12/30/2007,Not in floodplain,ROME CITY SD,411800,465715.18215221446,4785163.802186878
