Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
Pennsylvania Avenue Apts,NY360015074,"459 Pennsylvania Ave, Brooklyn, 11207",Kings,Truman Development & Management LLC,Pennsylvania Avenue Associates LP,NYC,3084662,3038060021,19,60,8,36047112600,,NYC GEOG DIST #19 - BROOKLYN,331900,40.66604078,-73.89416503,800015654,593471.134037358,4502273.3357711965
Peppertree Residence,NY06T821038,"73 Peppertree Dr, Amherst, 14228",Erie,Aspire of Western New York Inc,UNITED CEREBRAL PALSY OPPORTUNITIES INC.,ROS,,,61,146,26,36029009116,500-year,SWEET HOME CSD,140207,43.01430457,-78.81800262,800015655,188856.8578922315,4769480.769575911
Pierrepont House For The Elderly,NY360004031,"55 Pierrepont St, Brooklyn, 11201",Kings,Progress of Peoples Mgmt Corp,55 Pierrepont LLC,NYC,3001825,3002367502,26,52,10,36047000501,,NYC GEOG DIST #13 - BROOKLYN,331300,40.69588131,-73.99512203,800015657,584899.6902778137,4505483.371259687
Pilot Cove Manor,NY362483201,"160 Pilot St, Bronx, 10464",Bronx,JCL Management LLC,Pilot Cove Manor HDFC Inc,NYC,2082434,2056400018,34,82,14,36005051601,,NYC GEOG DIST #11 - BRONX,321100,40.84130328,-73.78284557,800015659,602610.8132460781,4521853.2785005085
Pine Town Houses,NY36L000018,"151B East Pine Street, Long Beach, 11561",Nassau,Metropolitan Realty Group LLC,Pine Town Homes LP,ROS,,,9,20,4,36059416500,100-year,LONG BEACH CITY SD,280300,40.59235439,-73.65839881,800015660,613524.614119722,4494371.037659336
Pinecrest Manor,NY360017001,"1100 Amuso Dr, Mount Kisco, 10549",Westchester,Michaels Management-Affordable LLC,"Foresight Affordable Housing-Pinecrest Manor, LLC",ROS,,,40,93,17,36119013000,,BEDFORD CSD,660102,41.22097838,-73.72890867,800015661,606544.0648733815,4564067.080341103
Piotr Stadnitski Gardens,NY06H108006,"100 Beck St, Buffalo, 14212",Erie,"Wingate Management Company, LLC.",RM & PSG LLC,ROS,,,63,143,26,36029002703,,BUFFALO CITY SD,140600,42.89650069,-78.83763191,800015666,186658.9557392628,4756469.855427829
Pitcher Hill Apts,NY06T781019,"114 Elbow Rd, North Syracuse, 13212",Onondaga,Christopher Community Inc,Pitcher Hill HDFC Inc.,ROS,,,50,128,22,36067013800,,NORTH SYRACUSE CSD,420303,43.11595144,-76.14761817,800015667,406635.1976731143,4774330.256613454
Plaza Apartments,NY360015176,"212 Crown St, Brooklyn, 11225",Kings,Fairstead Management LLC,Plaza Apartments Owner LLC,NYC,3034160,3012960008,20,43,9,36047032100,,NYC GEOG DIST #17 - BROOKLYN,331700,40.66630874,-73.95323012,800015668,588478.1927052788,4502241.958207528
Polyclinic Apts,NY360008022,"341 -363 West 50th St, New York, 10019",New York,WinnResidential (NY) LLC,Polyclinic Owner LLC,NYC,1082646,1010410011,47,75,12,36061013300,,NYC GEOG DIST # 2 - MANHATTAN,310200,40.763254,-73.987799,800015671,585432.1871729213,4512969.305054136
